kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 33139 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33140 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33141 : 260352 1822464 0 0 0 0 0 0 0 
_1.ptx 33142 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33143 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33144 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33145 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33146 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33147 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33148 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33149 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33150 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33151 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33152 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33153 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33154 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33155 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33156 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33157 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33158 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33159 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33160 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33161 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33162 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33163 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33164 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33165 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33166 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33167 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33168 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33169 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33170 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33171 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33172 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33173 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33174 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33175 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33176 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33177 : 260352 1822464 0 0 0 0 0 0 0 
_1.ptx 33178 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33179 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33180 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33181 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33182 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33183 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33184 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33185 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33186 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33187 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33188 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33189 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33190 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33191 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33192 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33193 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33194 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33195 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33196 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33197 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33198 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33199 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33200 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33201 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33202 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33203 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33204 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33205 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33206 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33207 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33208 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33209 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33210 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33211 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33212 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33213 : 260352 1822464 0 0 0 0 0 0 0 
_1.ptx 33214 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33215 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33216 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33217 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33218 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33219 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33220 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33221 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33222 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33223 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33224 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33225 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33226 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33227 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33228 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33229 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33230 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33231 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33232 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33233 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33234 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33235 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33236 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33237 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33238 : 260352 1944540 0 0 0 0 0 0 0 
